experiment,target,representation,model,encoding,n_uploads,n_qubits,n_layers,n_params,n_train,rotation_id,polar_angle,seed,stepsize,train_acc,test_acc,balanced_acc,majority,ceiling,final_loss,wall_time
faithfulness-tilt,latitude_bands,bloch,VQC,,,,,12,300,tilt_0,0.0,2000,,0.91,0.83,0.8300000000000001,0.5,,,
faithfulness-tilt,latitude_bands,bloch,VQC,,,,,12,300,tilt_0,0.0,2001,,0.8566666666666667,0.86,0.86,0.5,,,
faithfulness-tilt,latitude_bands,bloch,VQC,,,,,12,300,tilt_0,0.0,2002,,0.89,0.86,0.86,0.5,,,
faithfulness-tilt,latitude_bands,cartesian,FFNN(cartesian),,,,,41,300,tilt_0,0.0,2000,,0.9233333333333333,0.83,0.8300000000000001,0.5,,,
faithfulness-tilt,latitude_bands,cartesian,FFNN(cartesian),,,,,41,300,tilt_0,0.0,2001,,0.8733333333333333,0.87,0.87,0.5,,,
faithfulness-tilt,latitude_bands,cartesian,FFNN(cartesian),,,,,41,300,tilt_0,0.0,2002,,0.91,0.87,0.87,0.5,,,
faithfulness-tilt,latitude_bands,sincos,FFNN(sincos),,,,,49,300,tilt_0,0.0,2000,,0.9233333333333333,0.84,0.84,0.5,,,
faithfulness-tilt,latitude_bands,sincos,FFNN(sincos),,,,,49,300,tilt_0,0.0,2001,,0.8733333333333333,0.87,0.87,0.5,,,
faithfulness-tilt,latitude_bands,sincos,FFNN(sincos),,,,,49,300,tilt_0,0.0,2002,,0.9066666666666666,0.87,0.87,0.5,,,
faithfulness-tilt,latitude_bands,raw,FFNN(raw),,,,,33,300,tilt_0,0.0,2000,,0.9066666666666666,0.84,0.84,0.5,,,
faithfulness-tilt,latitude_bands,raw,FFNN(raw),,,,,33,300,tilt_0,0.0,2001,,0.8766666666666667,0.86,0.8600000000000001,0.5,,,
faithfulness-tilt,latitude_bands,raw,FFNN(raw),,,,,33,300,tilt_0,0.0,2002,,0.8933333333333333,0.89,0.89,0.5,,,
faithfulness-tilt,latitude_bands,bloch,VQC,,,,,12,300,tilt_1,0.2617993877991494,2000,,0.91,0.83,0.8300000000000001,0.5,,,
faithfulness-tilt,latitude_bands,bloch,VQC,,,,,12,300,tilt_1,0.2617993877991494,2001,,0.8566666666666667,0.86,0.86,0.5,,,
faithfulness-tilt,latitude_bands,bloch,VQC,,,,,12,300,tilt_1,0.2617993877991494,2002,,0.89,0.86,0.86,0.5,,,
faithfulness-tilt,latitude_bands,cartesian,FFNN(cartesian),,,,,41,300,tilt_1,0.2617993877991494,2000,,0.9166666666666666,0.83,0.8300000000000001,0.5,,,
faithfulness-tilt,latitude_bands,cartesian,FFNN(cartesian),,,,,41,300,tilt_1,0.2617993877991494,2001,,0.8633333333333333,0.86,0.86,0.5,,,
faithfulness-tilt,latitude_bands,cartesian,FFNN(cartesian),,,,,41,300,tilt_1,0.2617993877991494,2002,,0.91,0.87,0.87,0.5,,,
faithfulness-tilt,latitude_bands,sincos,FFNN(sincos),,,,,49,300,tilt_1,0.2617993877991494,2000,,0.9233333333333333,0.83,0.83,0.5,,,
faithfulness-tilt,latitude_bands,sincos,FFNN(sincos),,,,,49,300,tilt_1,0.2617993877991494,2001,,0.8766666666666667,0.86,0.86,0.5,,,
faithfulness-tilt,latitude_bands,sincos,FFNN(sincos),,,,,49,300,tilt_1,0.2617993877991494,2002,,0.91,0.87,0.87,0.5,,,
