experiment,target,representation,model,encoding,n_uploads,n_qubits,n_layers,n_params,n_train,rotation_id,polar_angle,seed,stepsize,train_acc,test_acc,balanced_acc,majority,ceiling,final_loss,wall_time
falsification,quadrupole,bloch,VQC,spherical,1,2,2,12,300,,,2000,0.05,0.5533333333333333,0.56,0.548440065681445,0.5733333333333333,0.7831499999999848,0.6824712029209921,3.510775566101074
falsification,quadrupole,bloch,VQC,spherical,1,2,2,12,300,,,2001,0.05,0.5433333333333333,0.51,0.5130558955528355,0.5633333333333334,0.7831499999999848,0.6900034814072562,3.4181864261627197
falsification,quadrupole,bloch,VQC,spherical,1,2,2,12,300,,,2002,0.05,0.51,0.57,0.5603448275862069,0.5866666666666667,0.7831499999999848,0.6923051590767909,3.2758734226226807
falsification,quadrupole,bloch,VQC,spherical,1,2,2,12,300,,,2000,0.2,0.5533333333333333,0.56,0.548440065681445,0.5733333333333333,0.7831499999999848,0.6824712035379197,3.395207405090332
falsification,quadrupole,bloch,VQC,spherical,1,2,2,12,300,,,2001,0.2,0.5433333333333333,0.51,0.5130558955528355,0.5633333333333334,0.7831499999999848,0.6900034837911366,3.382312059402466
falsification,quadrupole,bloch,VQC,spherical,1,2,2,12,300,,,2002,0.2,0.5133333333333333,0.57,0.5603448275862069,0.5866666666666667,0.7831499999999848,0.6923051296635211,3.4425063133239746
falsification,quadrupole,bloch,VQC,spherical,1,2,4,24,300,,,2000,0.05,0.5533333333333333,0.6,0.5500821018062397,0.5733333333333333,0.7831499999999848,0.6691202149227581,5.952965259552002
falsification,quadrupole,bloch,VQC,spherical,1,2,4,24,300,,,2001,0.05,0.5666666666666667,0.58,0.5201958384332925,0.5633333333333334,0.7831499999999848,0.6818312322804434,5.887312412261963
falsification,quadrupole,bloch,VQC,spherical,1,2,4,24,300,,,2002,0.05,0.5866666666666667,0.58,0.5,0.5866666666666667,0.7831499999999848,0.6774821886165571,5.940548419952393
falsification,quadrupole,bloch,VQC,spherical,1,2,4,24,300,,,2000,0.2,0.5533333333333333,0.6,0.5500821018062397,0.5733333333333333,0.7831499999999848,0.6691201796176208,6.008204936981201
falsification,quadrupole,bloch,VQC,spherical,1,2,4,24,300,,,2001,0.2,0.5666666666666667,0.58,0.5201958384332925,0.5633333333333334,0.7831499999999848,0.6818312208760403,5.9017157554626465
falsification,quadrupole,bloch,VQC,spherical,1,2,4,24,300,,,2002,0.2,0.5866666666666667,0.58,0.5,0.5866666666666667,0.7831499999999848,0.6774821799068159,5.767906188964844
falsification,quadrupole,bloch,VQC,spherical,1,2,6,36,300,,,2000,0.05,0.5533333333333333,0.6,0.5500821018062397,0.5733333333333333,0.7831499999999848,0.6691201821608509,8.25774073600769
falsification,quadrupole,bloch,VQC,spherical,1,2,6,36,300,,,2001,0.05,0.5666666666666667,0.58,0.5201958384332925,0.5633333333333334,0.7831499999999848,0.6818312326731276,8.440884590148926
falsification,quadrupole,bloch,VQC,spherical,1,2,6,36,300,,,2002,0.05,0.5866666666666667,0.58,0.5,0.5866666666666667,0.7831499999999848,0.6774821746839931,8.53047490119934
falsification,quadrupole,bloch,VQC,spherical,1,2,6,36,300,,,2000,0.2,0.5533333333333333,0.6,0.5500821018062397,0.5733333333333333,0.7831499999999848,0.6691201701282148,8.433561086654663
falsification,quadrupole,bloch,VQC,spherical,1,2,6,36,300,,,2001,0.2,0.5666666666666667,0.58,0.5201958384332925,0.5633333333333334,0.7831499999999848,0.6818312411504198,8.744787216186523
falsification,quadrupole,bloch,VQC,spherical,1,2,6,36,300,,,2002,0.2,0.5866666666666667,0.58,0.5,0.5866666666666667,0.7831499999999848,0.6774821841483054,8.410592317581177
falsification,quadrupole,bloch,VQC,spherical,1,2,10,60,300,,,2000,0.05,0.5533333333333333,0.6,0.5500821018062397,0.5733333333333333,0.7831499999999848,0.6691201900766396,13.155184030532837
falsification,quadrupole,bloch,VQC,spherical,1,2,10,60,300,,,2001,0.05,0.5666666666666667,0.58,0.5201958384332925,0.5633333333333334,0.7831499999999848,0.6818312224011375,13.165376663208008
falsification,quadrupole,bloch,VQC,spherical,1,2,10,60,300,,,2002,0.05,0.5866666666666667,0.58,0.5,0.5866666666666667,0.7831499999999848,0.6774821843003929,13.255758285522461
falsification,quadrupole,bloch,VQC,spherical,1,2,10,60,300,,,2000,0.2,0.5533333333333333,0.6,0.5500821018062397,0.5733333333333333,0.7831499999999848,0.6691211005630807,13.341512441635132
falsification,quadrupole,bloch,VQC,spherical,1,2,10,60,300,,,2001,0.2,0.5666666666666667,0.58,0.5201958384332925,0.5633333333333334,0.7831499999999848,0.6818312465690185,13.26263427734375
falsification,quadrupole,bloch,VQC,spherical,1,2,10,60,300,,,2002,0.2,0.5866666666666667,0.58,0.5,0.5866666666666667,0.7831499999999848,0.6775424006284008,13.130059003829956
falsification-control,quadrupole,,BestAffine,,,,,4,300,,,3000,,0.81,0.78,0.7413793103448276,0.5733333333333333,0.7831499999999848,,
falsification-control,quadrupole,,LogisticOnCartesian,,,,,4,300,,,3000,,0.5966666666666667,0.61,0.5619868637110016,0.5733333333333333,0.7831499999999848,,
falsification-control,quadrupole,,LogisticOnSinCos,,,,,5,300,,,3000,,0.99,0.99,0.9880952380952381,0.5733333333333333,0.7831499999999848,,
falsification-control,quadrupole,,HarmonicRegression(L=1),,,,,4,300,,,3000,,0.5966666666666667,0.61,0.5619868637110016,0.5733333333333333,0.7831499999999848,,
falsification-control,quadrupole,,HarmonicRegression(L=2),,,,,9,300,,,3000,,0.9466666666666667,0.93,0.9166666666666667,0.5733333333333333,0.7831499999999848,,
falsification-control,quadrupole,,Majority,,,,,0,300,,,3000,,0.5733333333333334,0.58,0.5,0.5733333333333333,0.7831499999999848,,
falsification,sectoral,bloch,VQC,spherical,1,2,2,12,300,,,2000,0.05,0.5166666666666667,0.41,0.41087916499397836,0.53,0.673749999999981,0.6902067780931694,3.712204933166504
falsification,sectoral,bloch,VQC,spherical,1,2,2,12,300,,,2001,0.05,0.5266666666666666,0.53,0.53,0.5033333333333333,0.673749999999981,0.6858278145864142,3.4166643619537354
falsification,sectoral,bloch,VQC,spherical,1,2,2,12,300,,,2002,0.05,0.5033333333333333,0.44,0.437374949979992,0.5133333333333333,0.673749999999981,0.6924294000370181,3.434089183807373
falsification,sectoral,bloch,VQC,spherical,1,2,2,12,300,,,2000,0.2,0.5166666666666667,0.41,0.41087916499397836,0.53,0.673749999999981,0.6902067556068754,3.4836301803588867
