experiment,target,representation,model,encoding,n_uploads,n_qubits,n_layers,n_params,n_train,rotation_id,polar_angle,seed,stepsize,train_acc,test_acc,balanced_acc,majority,ceiling,final_loss,wall_time
ladder-spectral,,,spin_n1,broadcast,1,1,,,,,,,,,5.226169816552691e-16,1.0,,,,
ladder-spectral,,,spin_n2,broadcast,1,2,,,,,,,,,9.088654489058065e-16,0.39949951698995845,,,,
ladder-spectral,,,spin_n3,broadcast,1,3,,,,,,,,,1.3751910807947168e-15,0.14332031213167284,,,,
ladder-spectral,,,spin_n4,broadcast,1,4,,,,,,,,,2.3571478599880378e-15,0.017173233998692947,,,,
ladder-spectral,,,reupload_U1,spherical,1,1,,,,,,,,,7.295173081823188e-16,1.0,,,,
ladder-spectral,,,reupload_U2,spherical,2,1,,,,,,,,,0.3607243899660732,0.6149476232142344,,,,
ladder-spectral,,,reupload_U3,spherical,3,1,,,,,,,,,0.2938136556488827,0.2241643309379194,,,,
ladder-spectral,,,reupload_U4,spherical,4,1,,,,,,,,,0.23431553819643644,0.0805047592693944,,,,
ladder-reupload-fixed_L,latitude_bands,bloch,VQC,spherical,1,1,2,6,300,,,2000,,0.016666666666666666,0.0,0.0,0.5,,,1.8700861930847168
ladder-reupload-fixed_L,latitude_bands,bloch,VQC,spherical,1,1,2,6,300,,,2001,,0.11,0.09,0.09000000000000001,0.5,,,1.985243558883667
ladder-reupload-fixed_L,latitude_bands,bloch,VQC,spherical,1,1,2,6,300,,,2002,,0.9833333333333333,0.99,0.99,0.5,,,1.8204879760742188
ladder-reupload-fixed_L,quadrupole,bloch,VQC,spherical,1,1,2,6,300,,,2000,,0.53,0.58,0.5755336617405583,0.5733333333333333,,,1.8181817531585693
ladder-reupload-fixed_L,quadrupole,bloch,VQC,spherical,1,1,2,6,300,,,2001,,0.4533333333333333,0.49,0.49551203590371273,0.5633333333333334,,,1.9912567138671875
ladder-reupload-fixed_L,quadrupole,bloch,VQC,spherical,1,1,2,6,300,,,2002,,0.5066666666666667,0.54,0.5344827586206897,0.5866666666666667,,,1.8065712451934814
ladder-reupload-fixed_L,banded_4,bloch,VQC,spherical,1,1,2,6,300,,,2000,,0.5466666666666666,0.52,0.5208333333333333,0.5233333333333333,,,1.9035191535949707
ladder-reupload-fixed_L,banded_4,bloch,VQC,spherical,1,1,2,6,300,,,2001,,0.5233333333333333,0.53,0.5304121648659463,0.51,,,1.846285104751587
ladder-reupload-fixed_L,banded_4,bloch,VQC,spherical,1,1,2,6,300,,,2002,,0.52,0.49,0.48875953432356484,0.5266666666666666,,,1.8141164779663086
ladder-reupload-fixed_L,latitude_bands,bloch,VQC,spherical,2,1,2,12,300,,,2000,,0.9366666666666666,0.92,0.9199999999999999,0.5,,,3.191174030303955
ladder-reupload-fixed_L,latitude_bands,bloch,VQC,spherical,2,1,2,12,300,,,2001,,0.9033333333333333,0.89,0.8899999999999999,0.5,,,3.1739304065704346
ladder-reupload-fixed_L,latitude_bands,bloch,VQC,spherical,2,1,2,12,300,,,2002,,0.93,0.95,0.95,0.5,,,3.3339622020721436
ladder-reupload-fixed_L,quadrupole,bloch,VQC,spherical,2,1,2,12,300,,,2000,,0.77,0.73,0.708128078817734,0.5733333333333333,,,3.5363292694091797
ladder-reupload-fixed_L,quadrupole,bloch,VQC,spherical,2,1,2,12,300,,,2001,,0.7833333333333333,0.71,0.6942064463484292,0.5633333333333334,,,3.279177665710449
ladder-reupload-fixed_L,quadrupole,bloch,VQC,spherical,2,1,2,12,300,,,2002,,0.7533333333333333,0.85,0.8444170771756978,0.5866666666666667,,,2.985625982284546
ladder-reupload-fixed_L,banded_4,bloch,VQC,spherical,2,1,2,12,300,,,2000,,0.66,0.56,0.5608974358974359,0.5233333333333333,,,3.206850528717041
ladder-reupload-fixed_L,banded_4,bloch,VQC,spherical,2,1,2,12,300,,,2001,,0.64,0.5,0.5006002400960384,0.51,,,3.192260980606079
ladder-reupload-fixed_L,banded_4,bloch,VQC,spherical,2,1,2,12,300,,,2002,,0.6033333333333334,0.57,0.5666399036531513,0.5266666666666666,,,3.339951992034912
ladder-reupload-fixed_L,latitude_bands,bloch,VQC,spherical,3,1,2,18,300,,,2000,,0.9866666666666667,0.99,0.99,0.5,,,4.263598680496216
ladder-reupload-fixed_L,latitude_bands,bloch,VQC,spherical,3,1,2,18,300,,,2001,,0.98,0.98,0.98,0.5,,,4.438721418380737
ladder-reupload-fixed_L,latitude_bands,bloch,VQC,spherical,3,1,2,18,300,,,2002,,0.9866666666666667,0.98,0.98,0.5,,,4.45123815536499
ladder-reupload-fixed_L,quadrupole,bloch,VQC,spherical,3,1,2,18,300,,,2000,,0.7666666666666667,0.7,0.6592775041050903,0.5733333333333333,,,4.315136909484863
ladder-reupload-fixed_L,quadrupole,bloch,VQC,spherical,3,1,2,18,300,,,2001,,0.8133333333333334,0.71,0.6713586291309669,0.5633333333333334,,,4.073249578475952
ladder-reupload-fixed_L,quadrupole,bloch,VQC,spherical,3,1,2,18,300,,,2002,,0.6933333333333334,0.74,0.6904761904761905,0.5866666666666667,,,4.427183151245117
ladder-reupload-fixed_L,banded_4,bloch,VQC,spherical,3,1,2,18,300,,,2000,,0.65,0.63,0.6282051282051282,0.5233333333333333,,,4.443493843078613
ladder-reupload-fixed_L,banded_4,bloch,VQC,spherical,3,1,2,18,300,,,2001,,0.7233333333333334,0.61,0.6148459383753502,0.51,,,4.516895294189453
ladder-reupload-fixed_L,banded_4,bloch,VQC,spherical,3,1,2,18,300,,,2002,,0.6766666666666666,0.66,0.669610598153352,0.5266666666666666,,,4.512061357498169
ladder-reupload-fixed_L,latitude_bands,bloch,VQC,spherical,4,1,2,24,300,,,2000,,0.98,1.0,1.0,0.5,,,5.838697671890259
ladder-reupload-fixed_L,latitude_bands,bloch,VQC,spherical,4,1,2,24,300,,,2001,,0.98,0.98,0.98,0.5,,,5.750048637390137
ladder-reupload-fixed_L,latitude_bands,bloch,VQC,spherical,4,1,2,24,300,,,2002,,0.9866666666666667,0.97,0.97,0.5,,,5.937371015548706
ladder-reupload-fixed_L,quadrupole,bloch,VQC,spherical,4,1,2,24,300,,,2000,,0.9,0.86,0.8333333333333333,0.5733333333333333,,,5.867778301239014
ladder-reupload-fixed_L,quadrupole,bloch,VQC,spherical,4,1,2,24,300,,,2001,,0.9366666666666666,0.91,0.8982048143614851,0.5633333333333334,,,5.968056678771973
ladder-reupload-fixed_L,quadrupole,bloch,VQC,spherical,4,1,2,24,300,,,2002,,0.9133333333333333,0.88,0.8637110016420362,0.5866666666666667,,,5.616039276123047
ladder-reupload-fixed_L,banded_4,bloch,VQC,spherical,4,1,2,24,300,,,2000,,0.8733333333333333,0.78,0.7836538461538461,0.5233333333333333,,,5.51399302482605
ladder-reupload-fixed_L,banded_4,bloch,VQC,spherical,4,1,2,24,300,,,2001,,0.7533333333333333,0.69,0.6916766706682673,0.51,,,5.774752378463745
ladder-reupload-fixed_L,banded_4,bloch,VQC,spherical,4,1,2,24,300,,,2002,,0.7366666666666667,0.68,0.683661180248896,0.5266666666666666,,,5.4853010177612305
ladder-spin,latitude_bands,bloch,VQC,broadcast,1,1,2,6,300,,,2000,,0.016666666666666666,0.0,0.0,0.5,,,1.8881151676177979
ladder-spin,latitude_bands,bloch,VQC,broadcast,1,1,2,6,300,,,2001,,0.11,0.09,0.09000000000000001,0.5,,,2.0267608165740967
ladder-spin,latitude_bands,bloch,VQC,broadcast,1,1,2,6,300,,,2002,,0.9833333333333333,0.99,0.99,0.5,,,1.8882756233215332
ladder-spin,quadrupole,bloch,VQC,broadcast,1,1,2,6,300,,,2000,,0.53,0.58,0.5755336617405583,0.5733333333333333,,,1.9547042846679688
ladder-spin,quadrupole,bloch,VQC,broadcast,1,1,2,6,300,,,2001,,0.4533333333333333,0.49,0.49551203590371273,0.5633333333333334,,,1.8770906925201416
ladder-spin,quadrupole,bloch,VQC,broadcast,1,1,2,6,300,,,2002,,0.5066666666666667,0.54,0.5344827586206897,0.5866666666666667,,,2.0460546016693115
ladder-spin,banded_4,bloch,VQC,broadcast,1,1,2,6,300,,,2000,,0.5466666666666666,0.52,0.5208333333333333,0.5233333333333333,,,2.0345940589904785
ladder-spin,banded_4,bloch,VQC,broadcast,1,1,2,6,300,,,2001,,0.5233333333333333,0.53,0.5304121648659463,0.51,,,2.034473180770874
ladder-spin,banded_4,bloch,VQC,broadcast,1,1,2,6,300,,,2002,,0.52,0.49,0.48875953432356484,0.5266666666666666,,,2.0231401920318604
ladder-spin,latitude_bands,bloch,VQC,broadcast,1,2,2,12,300,,,2000,,0.9833333333333333,0.98,0.98,0.5,,,3.7605929374694824
ladder-spin,latitude_bands,bloch,VQC,broadcast,1,2,2,12,300,,,2001,,0.9733333333333334,0.98,0.98,0.5,,,3.724576711654663
ladder-spin,latitude_bands,bloch,VQC,broadcast,1,2,2,12,300,,,2002,,0.9833333333333333,0.99,0.99,0.5,,,3.7415287494659424
ladder-spin,quadrupole,bloch,VQC,broadcast,1,2,2,12,300,,,2000,,0.85,0.79,0.7959770114942528,0.5733333333333333,,,3.857285737991333
ladder-spin,quadrupole,bloch,VQC,broadcast,1,2,2,12,300,,,2001,,0.8833333333333333,0.78,0.7927376580987352,0.5633333333333334,,,3.6295275688171387
ladder-spin,quadrupole,bloch,VQC,broadcast,1,2,2,12,300,,,2002,,0.85,0.82,0.8415435139573071,0.5866666666666667,,,3.8606088161468506
ladder-spin,banded_4,bloch,VQC,broadcast,1,2,2,12,300,,,2000,,0.7333333333333333,0.67,0.6682692307692308,0.5233333333333333,,,3.717700481414795
ladder-spin,banded_4,bloch,VQC,broadcast,1,2,2,12,300,,,2001,,0.7433333333333333,0.65,0.6504601840736295,0.51,,,3.6508703231811523
ladder-spin,banded_4,bloch,VQC,broadcast,1,2,2,12,300,,,2002,,0.7366666666666667,0.71,0.7047370533922119,0.5266666666666666,,,3.6038601398468018
ladder-spin,latitude_bands,bloch,VQC,broadcast,1,3,2,18,300,,,2000,,0.9766666666666667,0.96,0.96,0.5,,,5.4694037437438965
