experiment,target,representation,model,encoding,n_uploads,n_qubits,n_layers,n_params,n_train,rotation_id,polar_angle,seed,stepsize,train_acc,test_acc,balanced_acc,majority,ceiling,final_loss,wall_time
model-structure,,,,spherical,1,1,2,,,,,,,,7.146847362787926e-16,3.348078850798816e-30,,,,
model-structure,,,,spherical,1,1,4,,,,,,,,7.101275597440443e-16,4.6357422191483516e-30,,,,
model-structure,,,,spherical,1,1,6,,,,,,,,6.809448222573853e-16,6.623734832300491e-30,,,,
model-structure,,,,spherical,1,1,10,,,,,,,,8.96152475890126e-16,1.749346935752704e-30,,,,
model-structure,,,,spherical,1,2,2,,,,,,,,6.839714177629881e-16,5.2131298967446356e-30,,,,
model-structure,,,,spherical,1,2,4,,,,,,,,6.815551412209742e-16,5.795138656910379e-30,,,,
model-structure,,,,spherical,1,2,6,,,,,,,,9.633300439714739e-16,1.4171734085279512e-30,,,,
model-structure,,,,spherical,1,2,10,,,,,,,,1.034376863297726e-15,3.006098519315485e-30,,,,
model-structure,,,,broadcast,1,2,3,,,,,,,,9.01215736895093e-16,0.03654679104364088,,,,
model-structure,,,,broadcast,1,3,3,,,,,,,,1.3541024275917084e-15,0.06667310497822058,,,,
